,平均気温(℃),降水量の合計(mm),日照時間(時間),1日前平均気温(℃),2日前平均気温(℃),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時)
2008/1/17,3.9,0,7.6,3.6,4.8,曇,晴一時曇
2008/1/18,3.6,0,0.6,4.8,5,晴後薄曇,曇後一時晴
2008/1/19,4.8,0,7.7,5,4.9,晴一時曇,薄曇時々晴
2008/1/20,5,0,2.6,4.9,4.4,曇,曇一時晴
2008/1/21,4.9,0,0,4.4,3,曇後一時晴,曇
2008/1/22,4.4,0,4.5,3,5,曇,薄曇一時晴
2008/1/23,3,10.5,0,5,3.4,雨後曇,雪後雨、あられを伴う
2008/1/24,5,0,8.1,3.4,4.1,快晴,晴一時曇
2008/1/25,3.4,0,9.5,4.1,4.1,晴後一時曇,快晴
2008/1/26,4.1,0,5.1,4.1,4.7,晴,曇後晴
2008/1/27,4.1,0,9.6,4.7,5.2,快晴,晴
2008/1/28,4.7,0,4.3,5.2,8,雨時々曇、あられを伴う,晴後曇
2008/1/29,5.2,1,0,8,6.2,曇時々雨後一時晴,曇時々雨
2008/1/30,8,0,6.6,6.2,5,晴一時曇,晴後曇
2008/1/31,6.2,0,7.3,5,4.8,曇後晴,晴後一時曇
2008/2/1,5,0,9.5,4.8,1.5,晴後曇,快晴
2008/2/2,4.8,0,0.9,1.5,4.7,曇後雪、みぞれを伴う,曇
2008/2/3,1.5,23,0,4.7,5.6,雪後晴,雪
2008/2/4,4.7,0,9.5,5.6,2.8,曇一時雨後晴,晴
2008/2/5,5.6,0,7.1,2.8,5,晴後曇,晴
2008/2/6,2.8,3,0,5,4.9,みぞれ後雪一時曇,雪一時曇後みぞれ
2008/2/7,5,2,7.8,4.9,2.4,晴,晴一時曇
2008/2/8,4.9,0,8,2.4,6.5,晴後一時曇,晴
2008/2/9,2.4,11.5,0,6.5,6.8,みぞれ一時雪後曇,曇後一時雨、あられを伴う
2008/2/10,6.5,0,5.9,6.8,6.1,晴後一時薄曇,薄曇後晴
2008/2/11,6.8,0,9.7,6.1,3.1,晴後曇一時雨,薄曇後晴
2008/2/12,6.1,6.5,0,3.1,5.1,曇後一時晴,雨一時曇
2008/2/13,3.1,0,10.3,5.1,5.7,快晴,快晴
2008/2/14,5.1,0,9.6,5.7,5.2,快晴,快晴
2008/2/15,5.7,0,10.3,5.2,3.5,晴,晴
2008/2/16,5.2,0,8.4,3.5,5.3,晴,晴後一時曇
2008/2/17,3.5,0,6.9,5.3,5.4,快晴,晴時々曇
2008/2/18,5.3,0,10.2,5.4,7.1,晴,快晴
2008/2/19,5.4,0,9.8,7.1,8.6,快晴,晴
2008/2/20,7.1,0,10.3,8.6,9.5,快晴,快晴
2008/2/21,8.6,0,10.3,9.5,7.3,薄曇後一時晴,快晴
2008/2/22,9.5,0,9.7,7.3,3.7,薄曇後晴,晴後一時薄曇
2008/2/23,7.3,0,7.4,3.7,4.8,晴,晴後一時曇
2008/2/24,3.7,0,10.5,4.8,8.7,快晴,晴
2008/2/25,4.8,0,10.6,8.7,6.4,晴時々曇,快晴
2008/2/26,8.7,10.5,1.5,6.4,6.6,曇時々雨,曇一時晴
2008/2/27,6.4,0.5,9.2,6.6,7.8,晴一時曇,晴後一時曇
2008/2/28,6.6,0,10.7,7.8,8.8,晴時々薄曇,快晴
2008/2/29,7.8,0,10.7,8.8,8.6,晴,晴
2008/3/1,8.8,0,8.2,8.6,9.3,晴,晴時々曇
2008/3/2,8.6,0,6.2,9.3,8,晴,薄曇一時晴
2008/3/3,9.3,0,5.4,8,6.4,曇後晴,晴時々曇一時雨
2008/3/4,8,0.5,8.1,6.4,7.4,雨後曇,晴後一時曇
2008/3/5,6.4,0,6,7.4,7.8,快晴,曇後晴
2008/3/6,7.4,0,8.7,7.8,8.6,晴一時曇,晴
2008/3/7,7.8,4,7.4,8.6,10.4,晴一時雨、雷を伴う,晴後一時雨、雷を伴う
2008/3/8,8.6,0,11,10.4,9,快晴,快晴
2008/3/9,10.4,0,9.5,9,12.6,晴時々曇,晴時々薄曇
2008/3/10,9,4,1.2,12.6,9.7,快晴,雨後曇一時晴
2008/3/11,12.6,0,10.5,9.7,10.3,快晴,晴
2008/3/12,9.7,0,8.8,10.3,13.3,曇後一時晴,晴
2008/3/13,10.3,0,9.5,13.3,14.7,曇,晴
2008/3/14,13.3,34.5,0,14.7,14.5,雨後曇、雷を伴う,雨時々曇
2008/3/15,14.7,3,9.8,14.5,13.1,晴後一時曇,晴
2008/3/16,14.5,0,7.2,13.1,12.6,曇時々晴,曇後晴
2008/3/17,13.1,0,2.1,12.6,12.1,曇,曇
2008/3/18,12.6,0,6.8,12.1,9.2,晴後曇,晴一時曇
2008/3/19,12.1,8.5,0.3,9.2,10.7,雨,曇後雨
2008/3/20,9.2,29.5,0,10.7,11.9,雨後曇,雨
2008/3/21,10.7,0.5,0,11.9,12.3,晴一時曇,曇一時雨
2008/3/22,11.9,0,11.2,12.3,9.4,晴,快晴
2008/3/23,12.3,0,9.5,9.4,12.5,曇後一時雨,薄曇時々晴
2008/3/24,9.4,8,0,12.5,14.4,晴,雨後曇
2008/3/25,12.5,0,8.7,14.4,12,曇,晴
2008/3/26,14.4,0,8.6,12,12.6,曇後一時雨,晴一時曇
2008/3/27,12,0,6.4,12.6,12.1,曇時々晴,晴時々曇
2008/3/28,12.6,0,4.6,12.1,8.9,晴一時雨,曇時々晴一時雨
2008/3/29,12.1,0,8.6,8.9,7.8,薄曇時々晴,晴後薄曇
2008/3/30,8.9,7.5,0,7.8,11.2,雨,曇後雨
2008/3/31,7.8,19.5,2.9,11.2,13,快晴,雨後晴
2008/4/1,11.2,0,12.1,13,13.6,快晴,快晴
2008/4/2,13,0,5.8,13.6,14.1,薄曇後晴,晴後薄曇
2008/4/3,13.6,0,10.2,14.1,14.6,晴,晴
2008/4/4,14.1,0,6.4,14.6,14.7,晴一時薄曇,晴時々薄曇
2008/4/5,14.6,0,8.5,14.7,13.3,薄曇後一時晴,薄曇後一時晴
2008/4/6,14.7,0,11.3,13.3,12.1,晴,快晴
2008/4/7,13.3,6,1.7,12.1,13.1,大雨,曇時々雨一時晴
2008/4/8,12.1,75.5,0,13.1,10.1,雨後曇,大雨、雷を伴う
2008/4/9,13.1,0,2.9,10.1,14.3,曇後一時雨,曇
2008/4/10,10.1,28,0,14.3,15.9,雨,雨
2008/4/11,14.3,1.5,7.3,15.9,10.1,晴後曇,晴一時雨
2008/4/12,15.9,2.5,4.8,10.1,12.9,曇後雨,曇時々晴
2008/4/13,10.1,5.5,0,12.9,16.2,雨時々曇一時霧雨,雨時々曇
2008/4/14,12.9,3.5,4.7,16.2,17.6,快晴,雨後晴
2008/4/15,16.2,0,11.4,17.6,16.6,晴後薄曇,晴
2008/4/16,17.6,0,3.6,16.6,13.4,曇,曇一時晴
2008/4/17,16.6,14,0,13.4,14.5,大雨,曇後雨
2008/4/18,13.4,91.5,0,14.5,15.7,雨後一時曇,大雨
2008/4/19,14.5,2.5,0,15.7,15.8,曇時々雨,曇時々雨
2008/4/20,15.7,0,0.7,15.8,16,曇一時晴,曇
2008/4/21,15.8,0,3.4,16,17.2,曇,曇後時々晴
2008/4/22,16,0,9.8,17.2,18.2,晴時々曇,晴
2008/4/23,17.2,0,8.4,18.2,14.8,曇,晴時々曇
2008/4/24,18.2,8,0,14.8,13.7,曇一時雨,曇時々雨
2008/4/25,14.8,0,5.4,13.7,14.5,曇,曇後晴
2008/4/26,13.7,1,1.5,14.5,15.9,雨時々曇,曇後雨
2008/4/27,14.5,0.5,4.7,15.9,17.6,曇一時晴,曇一時雨後晴
2008/4/28,15.9,0,6.3,17.6,20.5,曇,薄曇後一時晴
2008/4/29,17.6,0,7.5,20.5,20.8,快晴,曇後晴
2008/4/30,20.5,0,11.6,20.8,19.9,快晴,快晴
2008/5/1,20.8,0,7.9,19.9,18.8,曇,薄曇
2008/5/2,19.9,4.5,0,18.8,18.5,雨一時曇,曇時々雨
2008/5/3,18.8,17,0.7,18.5,18.6,曇一時晴,雨後曇一時晴
2008/5/4,18.5,0,0,18.6,19.8,曇時々霧雨,曇後一時雨
2008/5/5,18.6,0,0.4,19.8,21.5,曇一時雨後晴,曇後一時雨
2008/5/6,19.8,0,12.2,21.5,19.6,晴,快晴
2008/5/7,21.5,0,11.4,19.6,18.9,晴時々薄曇,晴
2008/5/8,19.6,0,6.8,18.9,13.5,曇,薄曇一時晴
2008/5/9,18.9,0,1.7,13.5,11.7,曇時々雨,曇
2008/5/10,13.5,11,0,11.7,12.5,雨,雨
2008/5/11,11.7,7.5,0,12.5,11.6,曇一時晴,雨後曇
2008/5/12,12.5,0,0,11.6,12.9,曇後雨,曇
2008/5/13,11.6,28.5,0,12.9,17.3,曇後一時雨,雨時々曇
2008/5/14,12.9,16,0.2,17.3,18.7,曇後晴,雨後曇
2008/5/15,17.3,0,11.3,18.7,18.9,晴時々薄曇,晴時々薄曇
2008/5/16,18.7,0,8.1,18.9,18.6,曇,薄曇後時々晴
2008/5/17,18.9,1,6.5,18.6,19.7,雨時々曇後一時晴,晴時々曇後一時雨
2008/5/18,18.6,0,8.7,19.7,20.4,曇時々晴,晴時々薄曇
2008/5/19,19.7,1.5,1.8,20.4,20.1,大雨,曇
2008/5/20,20.4,91.5,0,20.1,21.7,薄曇後一時晴,大雨後曇
2008/5/21,20.1,0,11,21.7,24.3,晴後一時薄曇,晴
2008/5/22,21.7,0,8.5,24.3,21.6,薄曇後一時晴,薄曇時々晴
2008/5/23,24.3,0,10.5,21.6,20.8,薄曇,薄曇一時晴
2008/5/24,21.6,15.5,4.3,20.8,23.1,雨,曇後一時雨
2008/5/25,20.8,16,0.1,23.1,22.8,曇時々晴,雨後曇
2008/5/26,23.1,0,7,22.8,21.3,晴,晴時々曇
2008/5/27,22.8,0,13.1,21.3,15.8,晴後曇,晴
2008/5/28,21.3,0,4.7,15.8,14.9,曇後一時雨,曇
2008/5/29,15.8,27.5,0,14.9,13.5,雨時々曇,雨
2008/5/30,14.9,3.5,0,13.5,18.7,雨時々曇,雨後曇
2008/5/31,13.5,14,0,18.7,19.2,曇時々雨後晴,雨
2008/6/1,18.7,0,10.7,19.2,15.8,薄曇,晴後時々薄曇
2008/6/2,19.2,2,0,15.8,18.3,曇後雨,曇後一時雨
2008/6/3,15.8,35,0,18.3,18.6,雨時々曇,雨
2008/6/4,18.3,0.5,2.3,18.6,22.8,曇,曇後一時晴
2008/6/5,18.6,3,0,22.8,23,曇時々雨,曇時々雨
2008/6/6,22.8,0,7.4,23,21.7,晴後曇,薄曇時々晴
2008/6/7,23,0,5.6,21.7,21.2,曇,曇
2008/6/8,21.7,0,0.3,21.2,22.3,曇後一時雨,曇
2008/6/9,21.2,7.5,0.1,22.3,22.8,晴一時雨、雷を伴う,雨後時々曇、雷を伴う
2008/6/10,22.3,0,12.5,22.8,18.6,晴後曇,晴時々薄曇
2008/6/11,22.8,0,2,18.6,21.7,曇後雨,曇後時々晴
2008/6/12,18.6,27.5,1.5,21.7,23.1,晴,雨後一時薄曇
2008/6/13,21.7,0,13.1,23.1,21.1,晴,快晴
2008/6/14,23.1,0,10.9,21.1,22.9,曇後一時晴,薄曇
2008/6/15,21.1,0,6.9,22.9,22.1,薄曇,薄曇一時晴
2008/6/16,22.9,0,6.2,22.1,22.2,晴時々薄曇,曇後晴
2008/6/17,22.1,0,1.4,22.2,23.7,曇一時晴,曇
2008/6/18,22.2,0,2.4,23.7,22.9,曇,曇
2008/6/19,23.7,0,0.9,22.9,23.5,曇一時晴,曇後一時雨
2008/6/20,22.9,0,0,23.5,21,霧雨一時曇後雨,曇一時雨
2008/6/21,23.5,15.5,0,21,21.1,雨一時曇,曇時々雨
2008/6/22,21,69,0,21.1,23.6,大雨後一時曇,曇一時霧雨後雨
2008/6/23,21.1,17,0.3,23.6,21.6,曇一時雨,曇後一時雨
2008/6/24,23.6,0,10.2,21.6,17,晴後曇,薄曇時々晴
2008/6/25,21.6,0,1.5,17,21.6,曇後雨,曇
2008/6/26,17,2.5,0,21.6,23.4,曇,雨後時々曇
2008/6/27,21.6,0,8.1,23.4,21,曇一時晴,曇
2008/6/28,23.4,0,0.6,21,21.7,曇後雨,曇
2008/6/29,21,38.5,0,21.7,21.8,雨,雨
2008/6/30,21.7,7.5,2,21.8,23.7,曇後晴,曇時々雨後一時晴
2008/7/1,21.8,0,7.8,23.7,24.3,曇,薄曇後一時晴
2008/7/2,23.7,0,8.3,24.3,26.5,晴後一時曇,薄曇時々晴
2008/7/3,24.3,0,1.4,26.5,27.5,曇後一時雨、雷を伴う,曇
2008/7/4,26.5,16,8.7,27.5,27,曇一時晴,曇一時雨後晴
2008/7/5,27.5,0,8,27,25.1,曇一時晴,薄曇後晴
2008/7/6,27,0,4.2,25.1,24.1,雨時々曇,曇
2008/7/7,25.1,15,0,24.1,24.3,曇,雨時々曇
2008/7/8,24.1,1,0.3,24.3,24.6,曇,曇時々雨
2008/7/9,24.3,0,1.2,24.6,26,曇,曇
2008/7/10,24.6,0,2.5,26,28,曇,曇
2008/7/11,26,0,5.5,28,28.5,晴一時雨,曇後一時晴
2008/7/12,28,3,10.6,28.5,28.9,晴一時雨,薄曇時々晴、雷を伴う
2008/7/13,28.5,0,9.6,28.9,27.8,曇,薄曇時々晴
2008/7/14,28.9,0,4.7,27.8,27.3,薄曇、雷を伴う,曇後一時晴、雷を伴う
2008/7/15,27.8,0,4.6,27.3,27.9,曇後一時雨,曇
2008/7/16,27.3,1,6.3,27.9,28.7,晴時々曇,曇後晴
2008/7/17,27.9,0,5.1,28.7,29.1,晴後時々曇,曇後晴
2008/7/18,28.7,0.5,1.4,29.1,27,曇後時々晴,曇後時々雨、雷を伴う
2008/7/19,29.1,0,8.3,27,27,曇,曇後時々晴
2008/7/20,27,0,8.6,27,28.4,曇,晴一時曇
2008/7/21,27,0,1.6,28.4,28.9,曇,曇後一時晴
2008/7/22,28.4,0,8.1,28.9,29.1,曇一時晴,晴一時曇
2008/7/23,28.9,0,6.9,29.1,29.4,曇,曇後晴
2008/7/24,29.1,0,6.4,29.4,27.9,曇後一時晴,曇後一時晴
2008/7/25,29.4,0,10.6,27.9,27.6,曇一時雨,晴時々曇
2008/7/26,27.9,0,3.1,27.6,29.3,曇,曇
2008/7/27,27.6,0,1.6,29.3,28.5,曇一時雨後晴、雷を伴う,曇後一時雨
2008/7/28,29.3,0,4.8,28.5,26.4,曇後晴,曇一時晴
2008/7/29,28.5,11.5,7.4,26.4,26.2,曇一時雨、雷を伴う,晴時々曇
2008/7/30,26.4,0,5.5,26.2,27.4,曇一時晴,晴時々曇
2008/7/31,26.2,0,5.3,27.4,28.3,曇,曇後一時晴
2008/8/1,27.4,0,3.5,28.3,29.4,曇時々晴,曇後一時晴
2008/8/2,28.3,0,5.9,29.4,30.2,曇時々晴,曇後晴
2008/8/3,29.4,0,8.4,30.2,27.6,晴時々薄曇,晴
2008/8/4,30.2,25.5,4.4,27.6,29.8,雨時々曇、雷を伴う,曇時々晴
2008/8/5,27.6,111.5,0,29.8,30.2,曇一時雨,大雨時々曇、雷を伴う
2008/8/6,29.8,0,7.9,30.2,30.7,曇後晴,晴時々曇
2008/8/7,30.2,0,10.7,30.7,29.2,薄曇後晴,晴後一時薄曇
2008/8/8,30.7,0,9.8,29.2,26.6,曇時々晴,晴後一時薄曇
2008/8/9,29.2,0,3.7,26.6,28.1,曇,曇
2008/8/10,26.6,6,0.6,28.1,28.7,曇時々雨一時晴,曇
2008/8/11,28.1,13.5,5.8,28.7,29.2,曇一時晴,曇後晴
2008/8/12,28.7,0,3.2,29.2,30.1,晴後曇,曇時々晴
2008/8/13,29.2,0,4,30.1,30.7,曇,晴時々曇
2008/8/14,30.1,0,7.3,30.7,28.7,薄曇時々晴,晴時々薄曇
2008/8/15,30.7,0,11.7,28.7,22.6,晴後一時薄曇,晴時々薄曇
2008/8/16,28.7,26,5.5,22.6,25.2,曇一時雨、雷を伴う,曇時々晴後一時雨、雷を伴う
2008/8/17,22.6,15,0,25.2,28.5,曇一時雨,雨一時曇
2008/8/18,25.2,0,5,28.5,27.7,曇一時雨,曇後時々晴
2008/8/19,28.5,0,7.2,27.7,25.4,曇一時雨後晴,薄曇一時晴
2008/8/20,27.7,0,5.6,25.4,22.4,曇一時雨,曇時々晴
2008/8/21,25.4,7.5,4,22.4,20.9,曇一時雨後晴、雷を伴う,曇一時晴
2008/8/22,22.4,0,1.6,20.9,21.6,曇,曇一時晴
2008/8/23,20.9,5.5,0,21.6,23.2,雨,雨時々曇
2008/8/24,21.6,12.5,0,23.2,22.1,雨後一時曇,雨時々曇
2008/8/25,23.2,12,0,22.1,24.6,雨一時曇,雨時々曇
2008/8/26,22.1,7,0,24.6,25.5,曇一時雨後晴,雨後一時曇
2008/8/27,24.6,0,4.9,25.5,25.9,曇時々雨,曇一時晴
2008/8/28,25.5,19,0.2,25.9,24.8,雨時々曇、雷を伴う,曇後一時雨、雷を伴う
2008/8/29,25.9,44.5,2.7,24.8,25.6,大雨一時曇、雷を伴う,曇後一時晴
2008/8/30,24.8,68.5,2.7,25.6,27.3,大雨時々曇,曇時々雨
2008/8/31,25.6,13.5,3.7,27.3,28.3,曇一時雨、雷を伴う,晴時々曇一時雨
2008/9/1,27.3,0,4.4,28.3,28.7,曇,曇後時々晴
2008/9/2,28.3,0,5.8,28.7,27.4,晴後一時曇,晴一時曇
2008/9/3,28.7,0,9.7,27.4,26.6,晴後一時曇,晴
2008/9/4,27.4,0,1.3,26.6,27,曇一時雨,曇
2008/9/5,26.6,0,4.6,27,26.7,曇,曇後一時晴
2008/9/6,27,2.5,3.5,26.7,27.1,曇一時雨、雷を伴う,曇後晴
2008/9/7,26.7,4,3.4,27.1,25.6,曇時々雨後晴、雷を伴う,曇時々晴一時雨、雷を伴う
2008/9/8,27.1,0,8.2,25.6,24.2,曇後晴,晴時々曇
2008/9/9,25.6,0,11.9,24.2,23.2,快晴,快晴
2008/9/10,24.2,0,10.5,23.2,26.4,快晴,晴
2008/9/11,23.2,4.5,4,26.4,27,曇後一時晴,曇時々雨
2008/9/12,26.4,0,10.8,27,25.6,晴後薄曇,晴
2008/9/13,27,0,6.2,25.6,24.4,晴後曇,晴後一時曇
2008/9/14,25.6,0,4.1,24.4,23.3,曇後一時雨,曇時々晴一時雨
2008/9/15,24.4,1,0.3,23.3,25.2,雨一時曇,曇
2008/9/16,23.3,7.5,3.9,25.2,24.1,曇時々晴,雨時々曇後晴
2008/9/17,25.2,0,5.3,24.1,23.9,曇後一時雨,晴時々曇
2008/9/18,24.1,2,0,23.9,24.5,曇後雨,雨
2008/9/19,23.9,15.5,0,24.5,23,大雨後一時曇,雨時々曇
2008/9/20,24.5,29,2.7,23,20.9,晴後曇,曇時々晴
2008/9/21,23,37,0.2,20.9,23.6,雨時々曇、雷を伴う,曇後雨
2008/9/22,20.9,17.5,0,23.6,24.7,晴,雨後曇、雷を伴う
2008/9/23,23.6,0,4.7,24.7,24.9,曇時々晴,曇時々晴
2008/9/24,24.7,0,9.7,24.9,26,曇時々晴後一時雨,晴
2008/9/25,24.9,0,5.3,26,20.1,曇時々晴,曇後一時晴
2008/9/26,26,0,0.8,20.1,18.1,曇一時雨,曇一時雨
2008/9/27,20.1,0,2.8,18.1,16.6,曇,曇
2008/9/28,18.1,0,0,16.6,17.2,曇時々雨,曇後一時雨
2008/9/29,16.6,23.5,0,17.2,18.9,雨,雨
2008/9/30,17.2,14.5,0,18.9,19.6,雨,雨後一時曇
2008/10/1,18.9,6.5,0.7,19.6,20,快晴,曇一時雨
2008/10/2,19.6,0,10.8,20,20.6,曇一時晴,快晴
2008/10/3,20,0,4.4,20.6,21,晴,曇後時々晴
2008/10/4,20.6,0,9.1,21,18.3,晴後薄曇,晴
2008/10/5,21,6.5,4.5,18.3,21.6,大雨,曇一時晴
2008/10/6,18.3,29.5,0,21.6,19,曇,雨後曇
2008/10/7,21.6,1.5,2.7,19,21.1,大雨一時曇,曇
2008/10/8,19,51,0,21.1,21.7,曇,雨時々曇
2008/10/9,21.1,0,5.5,21.7,20.8,晴一時曇,晴時々曇
2008/10/10,21.7,0.5,5.3,20.8,18.6,曇時々晴一時雨,晴後曇一時雨
2008/10/11,20.8,1.5,1.7,18.6,19.5,晴,雨後曇時々晴
2008/10/12,18.6,0,5.8,19.5,18.6,曇,晴後曇
2008/10/13,19.5,0,6.1,18.6,19.9,晴後曇,曇後晴
2008/10/14,18.6,10,0,19.9,19.7,雨後時々曇,曇後雨
2008/10/15,19.9,0,4.4,19.7,19.6,晴一時曇,曇後晴
2008/10/16,19.7,0,10.5,19.6,19.6,晴一時薄曇,晴
2008/10/17,19.6,0,6.8,19.6,19.4,曇後晴,晴後曇
2008/10/18,19.6,0,5.2,19.4,20,晴一時曇,晴時々曇
2008/10/19,19.4,0,4.5,20,20.2,曇後時々雨,晴後曇
2008/10/20,20,2.5,7.6,20.2,19.8,曇後晴,晴後薄曇
2008/10/21,20.2,0,9.5,19.8,20.3,晴後一時曇,晴
2008/10/22,19.8,0,5,20.3,21,曇後時々雨,曇一時晴
2008/10/23,20.3,15.5,2,21,20.6,雨後一時曇,曇後雨
2008/10/24,21,75,0,20.6,19.3,曇時々晴一時雨,大雨
2008/10/25,20.6,0,0,19.3,18,曇,曇
2008/10/26,19.3,0.5,0,18,17.1,曇後一時晴,曇時々雨
2008/10/27,18,4,7.1,17.1,17,晴時々曇一時雨、雷を伴う,晴後時々曇一時雨、雷を伴う
2008/10/28,17.1,0,9.4,17,14.8,晴後曇,快晴
2008/10/29,17,0,5.4,14.8,14.4,曇時々晴,晴時々薄曇
2008/10/30,14.8,0,5.3,14.4,16.1,晴時々曇,曇後晴
2008/10/31,14.4,0,1.7,16.1,14.9,曇後晴,曇
2008/11/1,16.1,0,9.6,14.9,15.7,晴時々薄曇,快晴
2008/11/2,14.9,0,5.6,15.7,16.3,薄曇,薄曇後時々晴
2008/11/3,15.7,0,0,16.3,14.4,曇後時々晴,曇
2008/11/4,16.3,0,6.2,14.4,15.8,晴,薄曇後晴
2008/11/5,14.4,0,2.6,15.8,17.3,薄曇後晴,曇時々晴
2008/11/6,15.8,0,7.2,17.3,13.9,曇後雨,薄曇
2008/11/7,17.3,0.5,4.7,13.9,11.4,曇,曇一時雨後晴
2008/11/8,13.9,1.5,0,11.4,11.9,曇,曇時々雨
2008/11/9,11.4,1,0,11.9,11.6,雨,曇時々雨
2008/11/10,11.9,0.5,0.1,11.6,12.2,曇,曇一時雨
2008/11/11,11.6,0,0.1,12.2,14.9,曇,曇
2008/11/12,12.2,1,0,14.9,15.1,曇一時雨,曇後雨
2008/11/13,14.9,0,9.4,15.1,16.2,晴,快晴
2008/11/14,15.1,0,4,16.2,15.3,曇,曇後晴
2008/11/15,16.2,0,0.9,15.3,15.8,曇,曇後一時雨
2008/11/16,15.3,4,0,15.8,15.7,曇一時雨,雨後一時曇
2008/11/17,15.8,0,5.5,15.7,11.3,晴後薄曇,晴時々曇
2008/11/18,15.7,0,6.1,11.3,9.4,薄曇後晴,晴時々薄曇
2008/11/19,11.3,0,8.7,9.4,11,快晴,晴
2008/11/20,9.4,0,9.5,11,11.1,快晴,快晴
2008/11/21,11,0,9.6,11.1,12.1,快晴,快晴
2008/11/22,11.1,0,9.1,12.1,9.4,曇時々晴,晴後一時曇
2008/11/23,12.1,0,6.8,9.4,9.5,晴,晴一時曇
2008/11/24,9.4,31.5,0.8,9.5,11,雨後一時曇,曇後雨
2008/11/25,9.5,5,7.7,11,8.8,雨後曇,晴時々曇
2008/11/26,11,0,8.4,8.8,10.6,晴後時々薄曇,晴後一時薄曇
2008/11/27,8.8,5,0,10.6,13.1,曇後雨,雨時々曇
2008/11/28,10.6,24,2.6,13.1,12,快晴,曇一時雨後晴
2008/11/29,13.1,0,8.5,12,9.9,快晴,晴
2008/11/30,12,0,9.2,9.9,9.3,快晴,快晴
2008/12/1,9.9,1.5,7.6,9.3,12.3,雨一時曇,晴後一時曇
2008/12/2,9.3,2,0,12.3,12.4,曇後晴,曇後一時雨
2008/12/3,12.3,0,9.1,12.4,14.2,快晴,快晴
2008/12/4,12.4,0,8.6,14.2,10.3,曇後一時晴,快晴
2008/12/5,14.2,5,1.3,10.3,7.5,曇後晴,曇後一時雨、雷を伴う
2008/12/6,10.3,0,5.8,7.5,8.1,曇後晴,晴
2008/12/7,7.5,0,9.2,8.1,8.8,晴後曇,快晴
2008/12/8,8.1,0,2.8,8.8,14.1,晴時々薄曇,曇時々晴
2008/12/9,8.8,22.5,0.2,14.1,14,雨後一時曇,曇後一時雨
2008/12/10,14.1,2.5,6.2,14,13.1,曇後晴,晴時々曇
2008/12/11,14,0,7.7,13.1,11.3,晴一時薄曇,薄曇時々晴
2008/12/12,13.1,0,8.8,11.3,7.5,晴時々曇,快晴
2008/12/13,11.3,0,2.2,7.5,7.2,曇後一時雨,曇後時々晴
2008/12/14,7.5,14,0.4,7.2,8.4,快晴,雨後時々曇一時晴
2008/12/15,7.2,0,9,8.4,8.8,快晴,快晴
2008/12/16,8.4,0,8.1,8.8,11.4,曇,晴
2008/12/17,8.8,14,0,11.4,10,雨後晴時々曇,雨一時曇
2008/12/18,11.4,0,8.2,10,10.1,晴後一時曇,快晴
2008/12/19,10,0,8.6,10.1,13.5,晴時々曇,晴
2008/12/20,10.1,0,5.5,13.5,13.2,快晴,晴
2008/12/21,13.5,0,8.6,13.2,6.9,晴後一時薄曇,晴
2008/12/22,13.2,9,2.3,6.9,6.8,雨後曇,曇時々晴後一時雨
2008/12/23,6.9,0,6.6,6.8,10.1,快晴,曇後晴
2008/12/24,6.8,0,1,10.1,5.2,曇後晴,曇一時晴
2008/12/25,10.1,0,8.9,5.2,6,快晴,晴一時薄曇
2008/12/26,5.2,0,9.1,6,7.3,快晴,晴
2008/12/27,6,0,9.1,7.3,9.9,快晴,快晴
2008/12/28,7.3,0,9.1,9.9,9,快晴,快晴
2008/12/29,9.9,0,8.9,9,6.6,晴,快晴
2008/12/30,9,0,8.8,6.6,6.2,快晴,快晴
2008/12/31,6.6,0,9.1,6.2,6.9,快晴,快晴
2009/1/1,6.2,0,8.6,6.9,6.6,晴,快晴
2009/1/2,6.9,0,8.9,6.6,7.5,快晴,快晴
2009/1/3,6.6,0,9.1,7.5,8.5,快晴,快晴
2009/1/4,7.5,0,9,8.5,8.6,曇後一時晴,快晴
2009/1/5,8.5,0,7.8,8.6,7,曇時々晴,晴後一時曇
2009/1/6,8.6,0,8.6,7,6.7,晴時々曇,晴後一時薄曇
2009/1/7,7,0,4.6,6.7,4.4,曇一時晴,薄曇時々晴
2009/1/8,6.7,0,8.8,4.4,5.6,曇後雨,晴時々薄曇
2009/1/9,4.4,18,0,5.6,5.1,晴時々曇一時雨,雨、みぞれを伴う
2009/1/10,5.6,0,7.6,5.1,4.5,快晴,晴一時曇
2009/1/11,5.1,0,8.6,4.5,5.1,晴時々曇,快晴
2009/1/12,4.5,0.5,5.3,5.1,5.9,快晴,晴時々曇一時雨、あられを伴う
2009/1/13,5.1,0,9.2,5.9,4.3,快晴,晴
2009/1/14,5.9,0,9.4,4.3,5,快晴,快晴
2009/1/15,4.3,0,9.3,5,6.4,快晴,快晴
2009/1/16,5,0,9.4,6.4,6,快晴,快晴
2009/1/17,6.4,0,9.3,6,9.1,曇時々晴,快晴
2009/1/18,6,0,1.1,9.1,7.5,曇時々雨,曇一時雨
2009/1/19,9.1,3.5,7.6,7.5,6.6,晴後一時薄曇,晴一時曇
2009/1/20,7.5,0,0,6.6,5.9,曇,曇
2009/1/21,6.6,3.5,0.5,5.9,10.3,雨,曇後一時雨
2009/1/22,5.9,3.5,0,10.3,6.8,雨一時霧雨,霧雨時々雨
